"title","domain","difficulty","blurb","angles","seed_context","tags"
"Los Angeles","Places","Beginner","Major U.S. city, home to Hollywood and entertainment industries.","[""Why is LA tied to film?"",""How has its diversity shaped it?""]","Founded in 1781, Los Angeles grew with film and aerospace.\nIt is the second-largest U.S. city.","usa, city, hollywood"
"Mecca","Places","Beginner","Holy city of Islam in Saudi Arabia, site of the Kaaba.","[""Why do Muslims travel there?"",""How has Mecca shaped religion?""]","Located in western Saudi Arabia, Mecca hosts the annual Hajj.\nIt is the birthplace of the Prophet Muhammad.","islam, saudi arabia, religion"
"Great Barrier Reef","Places","Beginner","Largest coral reef system on Earth, located off Australia.","[""Why is the reef under threat?"",""What makes it biologically diverse?""]","Stretching over 2,300 km, the reef includes thousands of species.\nIt is visible from space and UNESCO-listed.","reef, australia, ocean"
"Berlin","Places","Beginner","Capital of Germany, known for history, culture, and the Berlin Wall.","[""Why is Berlin symbolic of division and unity?"",""How has it reinvented itself?""]","Berlin became capital in 1871.\nThe Berlin Wall divided the city until 1989.","germany, city, berlin wall"
"Taj Mahal","Places","Beginner","Famous mausoleum in India, built by Mughal emperor Shah Jahan.","[""Why is it a symbol of love?"",""How does its design reflect Mughal art?""]","Completed in 1648 in Agra, India.\nThe Taj Mahal is a UNESCO World Heritage Site.","india, architecture, mausoleum"
"Jerusalem","Places","Beginner","Ancient city sacred to Judaism, Christianity, and Islam.","[""Why is Jerusalem contested?"",""How does it unite religions?""]","Located in the Middle East, Jerusalem dates back millennia.\nIt is central to three major world religions.","jerusalem, religion, holy"
"Rio de Janeiro","Places","Beginner","Brazilian city famous for Carnival, beaches, and Christ the Redeemer statue.","[""Why is Rio vibrant?"",""How does Carnival shape its identity?""]","Founded in 1565, Rio became Brazil’s cultural capital.\nIt is known for samba and scenic landscapes.","brazil, city, carnival"
"Angkor Wat","Places","Beginner","Largest religious monument in the world, in Cambodia.","[""Why is Angkor Wat architecturally significant?"",""How did Khmer culture shape it?""]","Built in the 12th century, Angkor Wat was first Hindu, later Buddhist.\nIt remains Cambodia’s iconic temple.","cambodia, temple, heritage"
"Athens","Places","Beginner","Capital of Greece, birthplace of democracy and philosophy.","[""Why is Athens culturally vital?"",""How did it influence democracy?""]","Athens flourished in the 5th century BCE.\nIts Acropolis remains a symbol of ancient Greece.","greece, city, democracy"
"Istanbul","Places","Beginner","City bridging Europe and Asia, formerly Byzantium and Constantinople.","[""Why is its geography unique?"",""How did empires shape Istanbul?""]","Founded around 660 BCE, Istanbul was capital of empires.\nIt mixes cultures across continents.","turkey, city, culture"
"San Francisco","Places","Beginner","U.S. city known for the Golden Gate Bridge and tech innovation.","[""Why is SF a hub for innovation?"",""What defines its culture?""]","Founded in 1776, San Francisco grew with the Gold Rush.\nIt later became a technology hub in Silicon Valley.","usa, city, technology"
"Stonehenge","Places","Beginner","Prehistoric stone circle in England with mysterious origins.","[""Why was Stonehenge built?"",""What theories surround it?""]","Constructed around 3000 BCE, Stonehenge’s purpose is debated.\nIt is a UNESCO site in Wiltshire, England.","england, prehistoric, heritage"
"Venice","Places","Beginner","Italian city built on canals, known for art and architecture.","[""Why is Venice sinking?"",""What makes it unique?""]","Founded in 5th century, Venice thrived as a maritime republic.\nIt is famous for canals and Renaissance art.","italy, city, canals"
"Machu Picchu","Places","Beginner","Incan citadel in Peru, rediscovered in the 20th century.","[""Why is Machu Picchu mysterious?"",""How was it constructed?""]","Built in the 15th century in the Andes Mountains.\nIt was abandoned and rediscovered in 1911.","peru, inca, heritage"
"Petra","Places","Intermediate","Ancient Nabatean city in Jordan carved from rose-red rock, vital in desert trade routes.","[""Why was Petra important to ancient trade?"",""How does its architecture reflect cultural blending?""]","Built around the 3rd century BCE, Petra linked Arabia with the Mediterranean.\nIt declined after Roman annexation and earthquakes.","jordan, nabatean, heritage"
"Constantinople","Places","Intermediate","Historic city at the crossroads of Europe and Asia, capital of Byzantium and later Ottoman Empire.","[""Why was its location strategic?"",""How did Constantinople preserve classical knowledge?""]","Founded in 330 CE by Constantine, it thrived as Byzantine capital.\nConquered by Ottomans in 1453 and renamed Istanbul.","byzantine, ottoman, turkey"
"Kyoto","Places","Intermediate","Former imperial capital of Japan, renowned for temples, gardens, and cultural traditions.","[""Why did Kyoto preserve ancient culture?"",""How does it represent Japan’s identity?""]","Kyoto was Japan’s capital for over 1,000 years.\nIt survived WWII bombings and remains a cultural treasure.","japan, temples, heritage"
"Baghdad","Places","Intermediate","Capital of the Abbasid Caliphate, once a center of learning and culture.","[""Why was Baghdad central to the Islamic Golden Age?"",""How did it influence science and philosophy?""]","Founded in 762 CE, Baghdad housed the House of Wisdom.\nIt flourished until Mongol invasions in 1258.","iraq, islamic golden age, learning"
"Tenochtitlan","Places","Intermediate","Aztec capital built on Lake Texcoco, now beneath Mexico City.","[""How did the Aztecs engineer their city?"",""Why did Spanish conquest reshape it?""]","Founded in 1325, Tenochtitlan amazed Europeans with canals and temples.\nDestroyed in 1521, it became Mexico City.","aztec, mexico, conquest"
"Alexandria","Places","Intermediate","Egyptian port city founded by Alexander the Great, home to legendary library.","[""Why was Alexandria a hub of knowledge?"",""How did it blend cultures?""]","Founded in 331 BCE, Alexandria thrived as a Hellenistic center.\nIt housed the Great Library and Pharos Lighthouse.","egypt, hellenistic, library"
"Jericho","Places","Intermediate","One of the world’s oldest inhabited cities, near the Jordan River.","[""Why is Jericho significant archaeologically?"",""How has it survived millennia?""]","Jericho dates back at least 9,000 years.\nExcavations reveal ancient walls and continuity of settlement.","ancient, palestine, archaeology"
"Venice","Places","Intermediate","Maritime republic that dominated Mediterranean trade during the Middle Ages.","[""Why did Venice control commerce?"",""How did geography shape its politics?""]","Venice rose as a trade hub in the 9th century.\nIts canals and navy made it a global mercantile power.","italy, trade, maritime"
"Jerusalem","Places","Intermediate","Sacred city contested for centuries by Jews, Christians, and Muslims.","[""Why is Jerusalem central to multiple faiths?"",""How has conflict shaped its identity?""]","Jerusalem has been a focal point of faith and conflict.\nIts Old City houses sacred sites across religions.","religion, holy city, conflict"
"Angkor","Places","Intermediate","Capital of the Khmer Empire, famed for its monumental temples including Angkor Wat.","[""How did Angkor display Khmer power?"",""Why did the city decline?""]","Angkor flourished from the 9th–15th centuries in Cambodia.\nIt declined due to climate and political shifts.","cambodia, khmer, temples"
"Samarkand","Places","Intermediate","Central Asian Silk Road city known for Islamic architecture and trade.","[""Why was Samarkand key to Silk Road?"",""How did Timur shape its growth?""]","Samarkand prospered under Timur in the 14th century.\nIts Registan square reflects Islamic artistry.","uzbekistan, silk road, timur"
"Fez","Places","Intermediate","Historic city of Morocco, known for its medina and role as cultural center.","[""Why is Fez symbolic of Islamic culture?"",""How has its university influenced knowledge?""]","Founded in the 9th century, Fez became Morocco’s spiritual capital.\nIt is home to the world’s oldest university, al-Qarawiyyin.","morocco, islamic, medina"
"Cuzco","Places","Intermediate","Capital of the Inca Empire, shaped by Andean and Spanish influences.","[""Why was Cuzco central to the Incas?"",""How did conquest reshape it?""]","Founded around 1100 CE, Cuzco thrived as Inca center.\nAfter 1533, Spaniards built colonial structures atop Inca ruins.","inca, peru, heritage"
"Delphi","Places","Intermediate","Ancient Greek sanctuary of Apollo, famous for its oracle.","[""Why was Delphi politically influential?"",""How did religion and politics intertwine?""]","Located on Mount Parnassus, Delphi’s oracle guided leaders.\nIt symbolized Greek unity and divine counsel.","greece, oracle, apollo"
"Great Zimbabwe","Places","Intermediate","Ruined city in southern Africa, center of medieval trade networks.","[""Why was Great Zimbabwe advanced?"",""How do ruins reflect wealth?""]","Built between the 11th–15th centuries, Great Zimbabwe thrived on gold trade.\nIts stone enclosures reflect political and economic power.","zimbabwe, africa, trade"
